ID	LAMBX	LAMBY	ALT	BETA
758	208474	93094	186.6	0.153137
759	205459	93301	160.0	0.174528
760	202442	93506	167.2	0.180275
761	214718	95733	254.0	0.584551
762	211699	95941	219.6	0.439128
763	208682	96147	202.9	0.234639
764	205666	96352	191.5	0.145082
765	202649	96558	202.3	0.168118
766	214926	98785	274.5	0.350566
767	211908	98991	229.7	0.399672
768	208890	99198	207.2	0.0950079
769	205876	99404	248.1	0.149922
770	202860	99610	260.7	0.0985639
771	213244	74372	407.0	0.158344
772	210230	74578	375.3	0.133383
773	207216	74784	360.8	0.166793
774	204200	74991	352.0	0.158268
775	201185	75195	366.8	0.150152
776	213454	77423	437.8	0.144118
777	210441	77630	423.4	0.155064
778	207426	77836	395.2	0.147071
779	204409	78042	337.6	0.159646
780	201396	78248	359.4	0.147583
781	213663	80475	364.3	0.167205
782	210651	80681	400.0	0.160204
783	207635	80888	378.4	0.165382
784	204617	81093	300.6	0.16141
785	201604	81300	364.6	0.141078
786	213875	83527	328.9	0.17316
787	210861	83734	374.6	0.135403
788	207845	83938	332.4	0.130185
789	204829	84146	265.5	0.188677
790	201812	84351	299.4	0.133896
791	214086	86578	291.2	0.180887
792	211069	86785	268.8	0.214342
793	208054	86992	232.1	0.14847
794	205038	87197	230.7	0.432979
795	202019	87403	231.3	0.256094
796	229376	88594	469.8	0.1859
797	226360	88801	504.4	0.164583
798	223345	89010	518.8	0.165514
799	220328	89216	399.9	0.182732
800	217311	89423	298.6	0.145152
801	229587	91645	466.1	0.186136
802	226572	91854	468.5	0.165514
803	223556	92059	445.2	0.157024
804	220539	92268	357.2	0.227688
805	217523	92475	286.7	0.156451
806	229797	94697	433.2	0.241856
807	226782	94904	415.6	0.193334
808	223765	95113	342.3	0.166596
809	220749	95319	292.8	0.134197
810	217734	95526	281.2	0.0987727
811	230011	97748	357.3	0.102255
812	226995	97957	363.6	0.107223
